fips,scenario,period_label,TXx_median,TXx_delta,SU_median,SU_delta,TR_median,TR_delta,WSDI_median,WSDI_delta,TXge90F_median,TXge90F_delta,TXge100F_median,TXge100F_delta,CDD_median,CDD_delta,Rx1day_median,Rx1day_delta,R20mm_median,R20mm_delta,TXx_p10,TXx_p90,SU_p10,SU_p90,TR_p10,TR_p90,WSDI_p10,WSDI_p90,TXge90F_p10,TXge90F_p90,TXge100F_p10,TXge100F_p90,CDD_p10,CDD_p90,Rx1day_p10,Rx1day_p90,R20mm_p10,R20mm_p90,TXx_nex_delta
06001,ssp245,near,34.99285714285714,1.4,47.21428571428572,10.5,15.285714285714286,14.0,18.742857142857144,12.6,11.685714285714283,8.399999999999999,5.6,5.6,145.0285714285714,5.6,71.97468571428571,1.9603999999999997,7.967142857142857,0.1099999999999999,34.29285714285714,35.69285714285714,37.77142857142857,56.65714285714286,12.22857142857143,18.342857142857145,14.994285714285716,22.49142857142857,9.348571428571429,14.02285714285714,4.48,6.72,116.02285714285712,174.0342857142857,57.57974857142857,86.36962285714286,6.373714285714286,9.560571428571428,0.9167124067034038
06007,ssp245,near,43.96428571428571,1.4,193.5,10.5,54.285714285714285,14.0,22.02857142857143,12.6,112.82857142857142,8.399999999999999,35.885714285714286,5.6,118.02857142857142,5.6,83.92885714285714,2.286,15.21,0.2099999999999999,43.264285714285705,44.66428571428571,154.8,232.2,43.42857142857143,65.14285714285714,17.622857142857143,26.434285714285718,90.26285714285714,135.3942857142857,28.708571428571428,43.06285714285714,94.42285714285714,141.6342857142857,67.14308571428572,100.71462857142856,12.168,18.252,1.9298175266810844
06009,ssp245,near,42.81428571428571,1.4,164.07142857142858,10.5,28.857142857142858,14.0,22.17142857142857,12.6,90.97142857142856,8.399999999999999,20.17142857142857,5.6,,5.6,,,,,42.11428571428571,43.51428571428571,131.25714285714287,196.8857142857143,23.085714285714285,34.62857142857143,17.737142857142857,26.605714285714285,72.77714285714285,109.16571428571427,16.137142857142855,24.205714285714286,,,,,,,2.8321849278041356
06013,ssp245,near,35.33877551020408,1.4,83.64285714285714,10.5,17.142857142857142,14.0,19.6,12.6,12.4,8.399999999999999,5.6,5.6,172.0285714285714,5.6,90.62554285714286,2.4684,8.401714285714286,0.1159999999999999,34.63877551020408,36.03877551020408,66.91428571428571,100.37142857142857,13.714285714285714,20.57142857142857,15.68,23.520000000000003,9.919999999999998,14.88,4.48,6.72,137.62285714285713,206.4342857142857,72.50043428571429,108.75065142857144,6.7213714285714286,10.082057142857144,2.491880159961937
06015,ssp245,near,28.257142857142856,1.4,11.928571428571429,10.5,14.0,14.0,18.457142857142856,12.6,8.399999999999999,8.399999999999999,5.6,5.6,89.45714285714286,5.6,165.99262857142855,4.521199999999999,47.51314285714285,0.6559999999999999,27.557142857142857,28.957142857142856,9.542857142857144,14.314285714285717,11.2,16.8,14.765714285714283,22.148571428571422,6.719999999999999,10.079999999999998,4.48,6.72,71.56571428571428,107.34857142857145,132.79410285714283,199.19115428571428,38.01051428571428,57.01577142857143,4.678513881138393
06017,ssp245,near,36.84285714285714,1.4,115.64285714285714,10.5,14.714285714285714,14.0,22.88571428571429,12.6,20.114285714285717,8.399999999999999,5.6,5.6,67.31428571428572,5.6,142.95074285714284,3.8935999999999993,22.45285714285714,0.3099999999999999,36.14285714285714,37.54285714285714,92.5142857142857,138.77142857142857,11.77142857142857,17.65714285714286,18.30857142857143,27.462857142857143,16.091428571428573,24.13714285714285,4.48,6.72,53.85142857142857,80.77714285714286,114.36059428571428,171.5408914285714,17.962285714285713,26.94342857142857,6.474696568080354
06019,ssp245,near,44.55714285714286,1.4,205.64285714285717,10.5,78.71428571428571,14.0,23.88571428571429,12.6,127.68571428571428,8.399999999999999,60.74285714285715,5.6,159.45714285714286,5.6,49.02091428571429,1.3352,4.345714285714285,0.0599999999999999,43.85714285714285,45.25714285714286,164.5142857142857,246.77142857142857,62.97142857142857,94.45714285714286,19.10857142857143,28.662857142857145,102.14857142857144,153.22285714285715,48.59428571428572,72.89142857142858,127.56571428571428,191.34857142857143,39.21673142857144,58.825097142857146,3.476571428571428,5.214857142857142,-2.960082462855752
06023,ssp245,near,27.25595238095238,1.4,11.928571428571429,10.5,14.0,14.0,18.457142857142856,12.6,8.399999999999999,8.399999999999999,5.6,5.6,74.88571428571429,5.6,86.04849523809523,2.343733333333333,26.653714285714283,0.3679999999999999,26.55595238095238,27.95595238095238,9.542857142857144,14.314285714285717,11.2,16.8,14.765714285714283,22.148571428571422,6.719999999999999,10.079999999999998,4.48,6.72,59.90857142857143,89.86285714285714,68.83879619047619,103.25819428571428,21.322971428571428,31.98445714285714,4.077349544706799
06025,ssp245,near,49.01428571428571,1.4,267.6428571428572,10.5,141.57142857142856,14.0,22.17142857142857,12.6,187.9714285714286,8.399999999999999,125.02857142857142,5.6,239.17142857142855,5.6,36.21497142857143,0.9863999999999998,1.3037142857142858,0.018,48.31428571428571,49.71428571428572,214.11428571428573,321.1714285714286,113.25714285714284,169.88571428571427,17.737142857142857,26.605714285714285,150.37714285714287,225.5657142857143,100.02285714285712,150.03428571428572,191.33714285714285,287.0057142857143,28.971977142857146,43.45796571428572,1.0429714285714289,1.564457142857143,1.7557704380580361
06027,ssp245,near,46.707142857142856,1.4,227.3571428571429,10.5,104.0,14.0,20.6,12.6,161.9714285714286,8.399999999999999,101.45714285714286,5.6,141.31428571428572,5.6,31.42742857142857,0.856,2.462571428571428,0.0339999999999999,46.00714285714285,47.40714285714286,181.8857142857143,272.8285714285714,83.2,124.8,16.48,24.72,129.57714285714286,194.36571428571432,81.16571428571429,121.74857142857142,113.05142857142856,169.57714285714286,25.14194285714286,37.71291428571429,1.9700571428571425,2.9550857142857136,-0.2767648969377774
